run_id,mode,completed_at,generated,ai_approved,backlog_carried,kp_passed,round_pass_rate_pct
QA-20260819-002024-KST,qa,2026-08-19T00:23:45.329953+09:00,30,22,0,1,3.3333
RUN-20260819-003020-KST,production,2026-08-19T00:39:02.004737+09:00,5723,1225,0,6,0.1048
RUN-20260819-121626-KST,production,2026-08-19T12:27:54.705049+09:00,5368,1120,0,17,0.3167
RUN-20260819-131242-KST,production,2026-08-19T13:42:37.691987+09:00,6080,5313,0,104,1.7105
RUN-20260819-201533-KST,production,2026-08-19T20:49:40.567398+09:00,5411,4863,0,140,2.5873
RUN-20260819-205109-KST,production,2026-08-19T21:20:13.149319+09:00,10000,9140,0,51,0.5100
RUN-20260819-212146-KST,production,2026-08-19T21:33:06.841123+09:00,2317,2160,0,13,0.5611
RUN-20260819-213339-KST,production,2026-08-19T22:07:59.511479+09:00,9036,8251,0,128,1.4166
QA-20260819-223906-KST,qa,2026-08-19T22:41:54.110111+09:00,30,27,0,0,0.0000
QA-20260819-231214-KST,qa,2026-08-19T23:13:53.899405+09:00,20,18,0,0,0.0000
RUN-20260821-000031-KST,production,2026-08-21T00:12:04.762568+09:00,2733,2570,0,27,0.9879
RUN-20260821-001313-KST,production,2026-08-21T00:36:56.135152+09:00,6286,5501,0,23,0.3659
RUN-20260821-003914-KST,production,2026-08-21T00:51:45.903809+09:00,3571,3302,0,24,0.6721
RUN-20260821-005409-KST,production,2026-08-21T01:09:41.741231+09:00,6010,5802,0,20,0.3328
RUN-20260821-011226-KST,production,2026-08-21T01:26:45.520744+09:00,4760,4252,0,78,1.6387
RUN-20260821-011159-KST,production,2026-08-21T01:26:48.511884+09:00,4760,4298,0,79,1.6597
RUN-20260821-012932-KST,production,2026-08-21T01:44:41.444741+09:00,5168,4055,68,37,0.7159
RUN-20260821-014701-KST,production,2026-08-21T02:00:05.220452+09:00,3370,2926,0,47,1.3947
RUN-20260821-020148-KST,production,2026-08-21T02:15:39.575815+09:00,3370,2700,104,42,1.2463
RUN-20260821-021637-KST,production,2026-08-21T02:31:05.074369+09:00,3370,3355,0,16,0.4748
RUN-20260821-023157-KST,production,2026-08-21T02:45:45.369848+09:00,3370,3354,0,33,0.9792
RUN-20260823-024244-KST,production,2026-08-23T02:58:56.747845+09:00,3370,2844,0,19,0.5638
RUN-20260823-030806-KST,production,2026-08-23T03:24:47.436638+09:00,3370,3339,0,85,2.5223
RUN-20260823-125430-KST,production,2026-08-23T13:10:17.850349+09:00,3370,2486,0,33,0.9792
RUN-20260823-131209-KST,production,2026-08-23T13:28:25.490335+09:00,3370,966,0,8,0.2374
RUN-20260823-133002-KST,production,2026-08-23T13:48:41.615281+09:00,3370,1267,0,14,0.4154
RUN-20260823-135014-KST,production,2026-08-23T15:53:13.756356+09:00,3370,1560,0,6,0.1780
RUN-20260823-155702-KST,production,2026-08-23T16:17:16.289295+09:00,3370,2251,0,5,0.1484
RUN-20260823-161934-KST,production,2026-08-23T16:40:24.799561+09:00,3370,1594,0,11,0.3264
QA-20260826-222651-KST,qa,2026-08-26T22:29:35.749436+09:00,50,45,0,0,0.0000
RUN-20260826-235551-KST,production,2026-08-27T21:20:05.838009+09:00,3320,2250,0,1,0.0301
RUN-20260827-212217-KST,production,2026-08-27T21:50:59.682211+09:00,3370,2370,0,0,0.0000
RUN-20260827-215348-KST,production,2026-08-27T22:15:56.432562+09:00,3370,2645,0,53,1.5727
RUN-20260827-221751-KST,production,2026-08-27T22:29:36.892677+09:00,3370,321,0,3,0.0890
RUN-20260827-223140-KST,production,2026-08-27T22:51:52.578111+09:00,3370,2349,0,17,0.5045
RUN-20260827-225344-KST,production,2026-08-27T23:17:03.896900+09:00,3370,2504,0,34,1.0089
RUN-20260827-231830-KST,production,2026-08-27T23:37:20.516968+09:00,3370,1544,0,32,0.9496
RUN-20260827-233854-KST,production,2026-08-27T23:59:36.710650+09:00,3370,2988,0,19,0.5638
