title,industry,ai_approved,ai_reason,judged_at
Access Advisory,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Alert,cybersecurity,False,경보 대상이 될 위험/이벤트/이탈 개념과 무관한 도메인어,2026-08-19T12:22:43.308376+09:00
Access Allowance,cybersecurity,True,,2026-08-21T02:36:28.722223+09:00
Access Almanac,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Anchor,cybersecurity,True,,2026-08-18T07:51:55.730113+09:00
Access Asset,cybersecurity,True,,2026-08-23T13:45:14.730720+09:00
Access Assistant,,True,,2026-08-17T23:27:50.871251+09:00
Access Atlas,,True,,2026-08-17T20:48:06.680156+09:00
Access Attribute,cybersecurity,False,Attribute가 추상적 속성 용어라 제품 기능을 추측하기 어려움,2026-08-23T13:04:41.554058+09:00
Access Badge,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Balance,cybersecurity,True,,2026-08-23T13:45:14.730720+09:00
Access Base,,True,,2026-08-17T20:44:21.106446+09:00
Access Bay,cybersecurity,False,"'Bay'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Beacon,,True,,2026-08-17T20:34:16.019094+09:00
Access Bill,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Bin,cybersecurity,False,물리적으로 보관 가능한 사물이 아닌 도메인어(추상적 개념·사람·프로세스),2026-08-19T12:22:43.308376+09:00
Access Blueprint,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Board,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Book,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Booth,cybersecurity,False,"'Booth'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Bridge,cybersecurity,True,,2026-08-18T07:51:55.730113+09:00
Access Brief,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Bulletin,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
