title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Access Advisory,110.0,3.0,success,False,2026-08-21T00:59:10.591896+09:00
Access Agreement,260.0,4.0,success,False,2026-08-29T13:11:54.369815+09:00
Access Allowance,70.0,23.0,success,False,2026-08-21T02:38:43.386978+09:00
Access Almanac,,,failed,False,2026-08-18T22:11:07.698009+09:00
Access Analyzer,480.0,9.0,success,False,2026-08-27T23:55:11.655418+09:00
Access Anchor,20.0,10.0,success,False,2026-08-18T07:52:55.085793+09:00
Access Asset,110.0,1.0,success,False,2026-08-23T13:46:35.892255+09:00
Access Assistant,390.0,9.0,success,False,2026-08-17T23:27:50.871251+09:00
Access Atlas,30.0,0.0,success,False,2026-08-17T20:48:06.680156+09:00
Access Authorization,170.0,4.0,success,False,2026-08-28T21:05:06.332192+09:00
Access Badge,880.0,23.0,success,False,2026-08-21T00:24:59.301324+09:00
Access Balance,90.0,1.0,success,False,2026-08-23T13:46:30.859150+09:00
Access Base,210.0,1.0,success,False,2026-08-17T20:44:21.106446+09:00
Access Beacon,10.0,0.0,success,False,2026-08-17T20:34:16.019094+09:00
Access Benchmark,10.0,2.0,success,False,2026-08-28T21:04:40.586397+09:00
Access Bill,1000.0,1.0,success,False,2026-08-19T22:06:26.107612+09:00
Access Blueprint,,,failed,False,2026-08-18T22:10:59.912583+09:00
Access Board,880.0,2.0,success,False,2026-08-17T20:41:48.704350+09:00
Access Book,1000.0,11.0,success,False,2026-08-19T22:07:18.055706+09:00
Access Bridge,720.0,1.0,success,False,2026-08-18T07:52:44.350821+09:00
Access Brief,,,failed,False,2026-08-21T00:59:01.913298+09:00
Access Bulletin,,,failed,False,2026-08-21T00:58:57.845239+09:00
Access Cabinet,390.0,53.0,success,False,2026-08-27T23:12:56.649660+09:00
Access Calendar,390.0,4.0,success,False,2026-08-18T23:59:02.629298+09:00
Access Card,49500.0,7.0,success,False,2026-08-19T13:35:44.896452+09:00
Access Cascade,,,failed,False,2026-08-17T20:32:03.329355+09:00
Access Cash,1300.0,3.0,success,False,2026-08-21T02:23:00.928674+09:00
