title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Linguist List 2026,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 CFP,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 abstract submission,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 application,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 association,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 call for papers,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 career,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 career path,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 careers,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 certification,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 colloquium,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 conference,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 consulting,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 corpus,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 database,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 dataset,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 dissertation,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 employer,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 employment,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 fellowship,,,failed,False,2026-08-23T03:52:05.506505+09:00
Linguist List 2026 fellowships,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 freelance,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 funding,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 grant,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 grants,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 hiring,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 internships,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 job board,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 job listings,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 job search,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 jobs,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 journal,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 open positions,,,failed,False,2026-08-23T03:52:07.906295+09:00
Linguist List 2026 paid,,,failed,False,2026-08-23T03:52:07.906295+09:00
